iter	Passed	Remaining
0	1	130
1	2	119
2	3	114
3	4	105
4	5	105
5	6	103
6	7	101
7	8	100
8	9	99
9	10	98
10	11	97
11	13	95
12	14	94
13	15	93
14	16	92
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	82
24	26	80
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	97	9
91	98	8
92	99	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	108	0
